category,dataset,name,source,input_bytes,lzw_units,lzss_units,structure_score,byte_entropy,window_entropy,lzw_ratio,lzss_ratio,detail
audio,PolyAI_minds14,sample_0030,602baf10963e11ccd901ce24.wav,35558,21327,28558,0.148,7.4292,12.4048,1.125,1.008,"HF audio bytes, 35558 bytes"
audio,PolyAI_minds14,sample_0031,602bae2f963e11ccd901cdf4.wav,34874,21707,27955,0.1806,7.0478,12.1255,1.167,0.951,"HF audio bytes, 34874 bytes"
audio,PolyAI_minds14,sample_0032,602bac2e963e11ccd901cda4.wav,42384,20715,28252,0.2413,6.706,10.8652,0.916,0.849,"HF audio bytes, 42384 bytes"
audio,PolyAI_minds14,sample_0033,602bab75bb1e6d0fbce9219f.wav,135910,56055,88186,0.2939,6.0743,10.4466,0.825,0.804,"HF audio bytes, 135910 bytes"
audio,PolyAI_minds14,sample_0034,602bafa95f67b421554f64dc.wav,116112,56549,88896,0.1777,7.1118,12.0897,0.974,0.994,"HF audio bytes, 116112 bytes"
audio,PolyAI_minds14,sample_0035,602b9a59bb1e6d0fbce91f51.wav,52624,31858,45856,0.1451,7.2496,12.8591,1.135,1.053,"HF audio bytes, 52624 bytes"
audio,PolyAI_minds14,sample_0036,602bae9fbb1e6d0fbce92278.wav,30778,16135,18883,0.2949,6.2098,10.143,0.917,0.781,"HF audio bytes, 30778 bytes"
audio,PolyAI_minds14,sample_0037,602baaf1bb1e6d0fbce9217b.wav,133062,61715,94052,0.2458,6.3508,11.4313,0.928,0.905,"HF audio bytes, 133062 bytes"
audio,PolyAI_minds14,sample_0038,602ba6b8963e11ccd901ccda.wav,38288,18737,24627,0.2595,6.5491,10.5979,0.918,0.844,"HF audio bytes, 38288 bytes"
audio,PolyAI_minds14,sample_0039,602baf98bb1e6d0fbce922c5.wav,23092,11380,14278,0.3337,5.8466,9.6294,0.862,0.805,"HF audio bytes, 23092 bytes"
audio,PolyAI_minds14,sample_0040,602ba556963e11ccd901ccb0.wav,71056,39846,60441,0.1497,7.2639,12.6824,1.122,1.043,"HF audio bytes, 71056 bytes"
audio,PolyAI_minds14,sample_0041,602baee7bb1e6d0fbce9228e.wav,35558,19448,25051,0.1962,7.1091,11.5033,1.026,0.91,"HF audio bytes, 35558 bytes"
audio,PolyAI_minds14,sample_0042,602b9c72bb1e6d0fbce91f87.wav,34982,18739,23292,0.1766,7.405,11.5397,1.004,0.906,"HF audio bytes, 34982 bytes"
audio,PolyAI_minds14,sample_0043,602bab46bb1e6d0fbce92191.wav,37606,25398,34608,0.1065,7.6082,13.3752,1.266,1.062,"HF audio bytes, 37606 bytes"
audio,PolyAI_minds14,sample_0044,602b9b0c963e11ccd901cbda.wav,38970,15186,19834,0.4071,5.2041,8.5644,0.682,0.696,"HF audio bytes, 38970 bytes"
audio,PolyAI_minds14,sample_0045,602ba4f05f67b421554f6400.wav,47846,24094,30338,0.2816,6.2314,10.5266,0.944,0.819,"HF audio bytes, 47846 bytes"
audio,PolyAI_minds14,sample_0046,602ba981963e11ccd901cd3b.wav,27366,11131,13884,0.4246,5.0629,8.2862,0.712,0.677,"HF audio bytes, 27366 bytes"
audio,PolyAI_minds14,sample_0047,602b9874bb1e6d0fbce91f27.wav,47846,27311,39361,0.1875,6.9036,12.1915,1.07,1.023,"HF audio bytes, 47846 bytes"
audio,PolyAI_minds14,sample_0048,602baec5963e11ccd901ce0b.wav,28048,12906,15146,0.3861,5.4083,8.8298,0.805,0.718,"HF audio bytes, 28048 bytes"
audio,PolyAI_minds14,sample_0049,602ba75c963e11ccd901ccef.wav,32826,17275,22251,0.2433,6.6567,10.9002,0.987,0.878,"HF audio bytes, 32826 bytes"
audio,PolyAI_minds14,sample_0050,602ba06a963e11ccd901cc3c.wav,81978,37932,50330,0.2541,6.5037,10.8626,0.925,0.855,"HF audio bytes, 81978 bytes"
audio,PolyAI_minds14,sample_0051,602ba56205f96973d679443d.wav,74470,37685,55228,0.1973,6.9229,11.8419,1.012,0.945,"HF audio bytes, 74470 bytes"
audio,PolyAI_minds14,sample_0052,602ba6f3bb1e6d0fbce920b7.wav,36468,13064,15046,0.4798,4.6238,7.3987,0.627,0.578,"HF audio bytes, 36468 bytes"
audio,PolyAI_minds14,sample_0053,602baca4963e11ccd901cdb7.wav,45114,13533,15933,0.5642,3.8345,6.2773,0.525,0.507,"HF audio bytes, 45114 bytes"
audio,PolyAI_minds14,sample_0054,602ba717bb1e6d0fbce920bc.wav,72422,42791,67737,0.1341,7.2913,13.127,1.182,1.09,"HF audio bytes, 72422 bytes"
audio,PolyAI_minds14,sample_0055,602ba65dbb1e6d0fbce9209b.wav,26682,12653,14275,0.3331,5.9933,9.3531,0.83,0.719,"HF audio bytes, 26682 bytes"
audio,PolyAI_minds14,sample_0056,602bad055f67b421554f648d.wav,37606,16465,19460,0.3774,5.5024,8.9198,0.821,0.696,"HF audio bytes, 37606 bytes"
audio,PolyAI_minds14,sample_0057,602b9999bb1e6d0fbce91f3e.wav,34874,14839,18014,0.3985,5.3799,8.4893,0.745,0.666,"HF audio bytes, 34874 bytes"
audio,PolyAI_minds14,sample_0058,602ba9c25f67b421554f6459.wav,31462,13593,17126,0.3543,5.7157,9.2326,0.756,0.719,"HF audio bytes, 31462 bytes"
audio,PolyAI_minds14,sample_0059,602bad575f67b421554f6496.wav,34874,20503,25268,0.1881,7.1144,11.7534,1.102,0.905,"HF audio bytes, 34874 bytes"
audio,PolyAI_minds14,sample_0060,602ba1e0963e11ccd901cc51.wav,47846,24148,32059,0.2735,6.2759,10.6967,0.946,0.842,"HF audio bytes, 47846 bytes"
audio,PolyAI_minds14,sample_0061,602ba6e405f96973d6794461.wav,39654,20448,25166,0.2468,6.6074,10.8864,0.967,0.865,"HF audio bytes, 39654 bytes"
audio,PolyAI_minds14,sample_0062,602ba38bbb1e6d0fbce9201d.wav,37210,20638,27735,0.1803,7.2208,11.7892,1.04,0.98,"HF audio bytes, 37210 bytes"
audio,PolyAI_minds14,sample_0063,602ba1e5963e11ccd901cc52.wav,45798,18455,22295,0.3988,5.3428,8.5543,0.756,0.655,"HF audio bytes, 45798 bytes"
audio,PolyAI_minds14,sample_0064,602bad7d05f96973d67944e2.wav,38970,20334,25484,0.2649,6.3506,10.8233,0.978,0.884,"HF audio bytes, 38970 bytes"
audio,PolyAI_minds14,sample_0065,602bad6bbb1e6d0fbce921f7.wav,93584,38459,55819,0.3085,6.0666,9.9934,0.822,0.76,"HF audio bytes, 93584 bytes"
audio,PolyAI_minds14,sample_0066,602bad61963e11ccd901cdd9.wav,41668,14474,17491,0.5055,4.3344,7.155,0.608,0.569,"HF audio bytes, 41668 bytes"
audio,PolyAI_minds14,sample_0067,602ba307963e11ccd901cc69.wav,28048,14837,18432,0.2953,6.1811,10.1877,0.926,0.807,"HF audio bytes, 28048 bytes"
audio,PolyAI_minds14,sample_0068,602ba368963e11ccd901cc73.wav,22586,8775,10116,0.4525,4.9054,7.7102,0.68,0.623,"HF audio bytes, 22586 bytes"
audio,PolyAI_minds14,sample_0069,602ba046bb1e6d0fbce91fd3.wav,36240,17687,23385,0.2939,6.173,10.2495,0.915,0.829,"HF audio bytes, 36240 bytes"
audio,PolyAI_minds14,sample_0070,602ba418bb1e6d0fbce92030.wav,41018,25313,36567,0.1408,7.3557,12.784,1.157,1.065,"HF audio bytes, 41018 bytes"
audio,PolyAI_minds14,sample_0071,602b98135f67b421554f636c.wav,55786,22370,28834,0.3934,5.3076,8.7963,0.752,0.683,"HF audio bytes, 55786 bytes"
audio,PolyAI_minds14,sample_0072,602bac3cbb1e6d0fbce921c2.wav,26682,12535,14148,0.3585,5.683,9.1633,0.822,0.749,"HF audio bytes, 26682 bytes"
audio,PolyAI_minds14,sample_0073,602badfebb1e6d0fbce92229.wav,28730,14666,17312,0.3201,5.9481,9.8609,0.893,0.827,"HF audio bytes, 28730 bytes"
audio,PolyAI_minds14,sample_0074,602ba2b5bb1e6d0fbce92003.wav,127718,59215,92291,0.1902,6.9938,11.9252,0.927,0.936,"HF audio bytes, 127718 bytes"
audio,PolyAI_minds14,sample_0075,602b9be4bb1e6d0fbce91f70.wav,32826,11656,13034,0.502,4.3419,7.253,0.621,0.617,"HF audio bytes, 32826 bytes"
audio,PolyAI_minds14,sample_0076,602badf5bb1e6d0fbce92224.wav,35558,13904,15742,0.4709,4.6955,7.5396,0.684,0.588,"HF audio bytes, 35558 bytes"
audio,PolyAI_minds14,sample_0077,602baa3abb1e6d0fbce9215b.wav,21904,14670,18399,0.1503,7.4189,12.3535,1.172,1.031,"HF audio bytes, 21904 bytes"
audio,PolyAI_minds14,sample_0078,602baa63bb1e6d0fbce92162.wav,28048,11748,13487,0.379,5.6082,8.6567,0.733,0.656,"HF audio bytes, 28048 bytes"
audio,PolyAI_minds14,sample_0079,602ba64f05f96973d6794450.wav,44640,18406,21500,0.3978,5.2236,8.8232,0.773,0.707,"HF audio bytes, 44640 bytes"
